x,y,z
-8.24,-69.39,6.31
22.75,-84.52,0.53
25.71,-4.69,0.49
-26.56,-18.32,7.81
19.21,-19.93,-17.11
28.76,-11.84,-23.48
60.07,-23.63,13.95
-32.78,-81.17,7.58
16.02,1.09,-6.57
7.42,15.84,-7.71
-36.25,1.72,6.24
-44.92,9.18,-6.55
56.86,-20.48,13.72
-17.15,-23.75,-21.95
22.53,-37.37,-9
25.69,1.66,-0.04
-8.29,-69.91,-0.34
19.27,-10.53,-5.64
16.02,1.09,-6.57
20.21,-6.35,-20.5
-15.05,0.04,-17.28
-11.82,0.32,-14
-28.93,46.17,2.43
-4,10,-4
-6,52,28
-34,18,-24
-37.33,-48.99,-16.26
-43.61,-64.12,-4.88
37.49,-54.88,-16.62
47.34,-74.43,4.98
39.95,-86.65,12.78
-27.24,-65.97,38.58
-47.83,11.1,32.35
-44.49,9.23,49.2
34.2,15.63,0.92
-11.39,-80.87,9.54
7.8,-81.27,2.66
-2.83,12.66,48.43
-19.27,-0.52,-10.49
-18.11,9.23,5.4
-3.06,-13.95,7.17
-19.05,-31.22,5.46
-48,-12,-9
9,18,33
15,-24,45
3,-3,3
-15,3,-12
39,-12,-27
-18,-84,9
6,-3,0
-21,-6,-21
-15,3,-12
7.99,6.35,62.22
10.12,-2.44,58.47
50.57,-6.03,36
48.15,10.77,5.63
63.29,-4.86,22.38
-47.72,-12.96,37.71
-49.81,-5.94,46.07
-4.81,2.21,64.94
-56.39,-7.7,23.99
-33.03,41.43,24.06
-43.87,26.62,-1.34
63.22,-27.55,4.21
63.15,-6.23,4.65
52.52,-16.7,7.88
63.01,5.43,-9.71
71.64,-15.67,-8.04
50.27,-48.72,-20.63
-35,-33.8,14.78
-56.49,-13.12,8.83
-60.67,-38.53,11.01
-43.65,-17.28,9.03
-43.81,-12.3,-9.22
13.87,-3.5,-10.62
22.52,1.98,4.43
29.98,-20.15,-7.18
-39.49,-0.85,0.92
-0.7,7.04,44.42
-22.42,7.71,0
28.89,-62.05,-25.96
-26.62,-72.79,-22.19
-3.22,-60.64,-32.4
-11.74,-77.95,-35.31
-37.42,-56.45,-30.13
-50.19,7.72,2.55
7.99,8.63,64.26
43.85,17.08,5.15
59.14,-1.4,39.98
-49.85,-4.17,41.46
-50.16,8.06,6.98
-4.9,5.58,53.51
54.44,9.6,-9.96
65.33,-25.6,1.79
60.98,-4.48,0.07
67.24,0.62,-17.16
-54.51,0.66,-5.73
-62.89,-24.08,5.37
-34.99,-33.63,17
-60.72,-34.64,6.23
18.14,-3.47,-10.68
-22.41,7.89,2.22
-26.61,8.55,11.13
-43.83,13.76,-2.49
28.89,-62.05,-25.96
56.98,2.81,39.65
10.11,4.07,60.16
43.82,19.03,2.75
48.14,12.88,5.45
-51.99,-4.18,41.49
-43.85,26.79,0.88
65.35,-27.54,4.18
52.33,7.65,-7.54
58.77,1.34,-7.09
54.52,-7.14,-6.33
63.15,-6.23,4.65
-52.38,4.91,-6.11
-62.93,-20.02,2.79
-56.56,-11.7,-0.21
-62.82,-38.71,8.82
-42.87,3.94,-19.52
-41.52,-19.55,6.97
16,-3.49,-10.65
18.59,-69.09,21.59
3.23,-25.05,-13.16
28.83,9.79,-5.22
31.05,-26.66,-8.88
20.12,34.44,-16.11
-43.84,11.47,-4.53
-31.05,24.41,-3.53
26.81,-68.07,-20.97
-3.21,-60.47,-30.19
-37.46,-54.67,-34.74
12.28,10.94,66.25
5.85,1.93,60.38
48.14,12.88,5.45
50.6,-3.57,40.26
59.14,-3.52,40.16
5.76,17.45,54.62
-49.81,-5.94,46.07
-13.38,-0.3,60.79
-39.58,24.53,-1.21
-2.81,5.17,47.95
-0.87,22.93,29.71
63.2,-27.73,1.99
60.9,1.36,-7.11
52.34,9.93,-5.5
71.63,-13.56,-8.21
50.37,-16.89,5.69
-52.39,2.62,-8.15
-52.4,13.54,-4.6
-60.98,39.55,2.24
-32.86,-35.9,14.93
-62.92,-22.14,2.97
41.66,23.07,0.21
16,-3.49,-10.65
20.17,21.75,-15.04
22.5,1.81,2.21
26.69,9.78,-5.19
-50.21,7.55,0.34
-43.84,11.47,-4.53
-22.41,7.89,2.22
-1.16,-37.19,-32.16
-7.33,-23.75,4.7
-24.44,-10.82,8.27
31.03,-62.04,-25.99
54.48,-60.3,-33.09
1.13,-48.84,-17.83
-0.96,-72.46,-20.28
-9.6,-80.06,-35.16
-5.34,-60.48,-30.16
-35.3,-56.6,-32.37
-20.29,-60.4,-27.76
50.54,-10.77,29.71
48.44,-8.16,36.21
11.98,21.06,31.95
9.9,15.05,36.93
2,26.04,-12.97
59.15,-5.63,40.33
46.29,4.86,39.6
57,2.98,41.87
-2.76,12.28,57.38
-43.89,25.22,-5.68
-45.5,-5.58,50.45
-50.18,10.01,4.59
-43.7,15.13,15.24
-47.71,-15.08,37.89
-5.12,20.96,32.15
-21.39,49.1,12.13
-37.01,4.88,47.25
-52.13,-7.84,21.72
-13.71,46.8,36.77
-19.81,12.7,64.24
-20.49,45.11,-12.08
63.23,-29.67,4.39
65.22,-9.19,-6.28
52.14,16.68,-28.37
67.25,0.71,-16.05
52.34,9.93,-5.5
-56.58,-11.87,-2.42
-62.93,-20.02,2.79
-56.66,-3.92,-9.78
-60.7,-38.87,6.58
-52.24,-24.36,0.81
-56.25,-54.56,23.46
-32.85,-33.62,16.97
-39.75,-6.85,-35.38
16,-3.49,-10.65
28.84,20.88,0.54
41.66,23.07,0.21
-43.85,13.59,-4.7
-35.29,24.73,0.96
-24.57,5.42,-2.01
-31.09,16.32,-11.77
-11.51,-20.63,17.87
-30.88,10.81,13.22
-28.76,-31.08,-5.59
-5.18,-25.85,4.85
-11.64,15.32,14.85
37.42,-66.57,-30.14
13.95,-86.09,-32.69
11.81,-61.98,-23.54
11.8,-73.07,-29.3
-3.22,-60.64,-32.4
-52.26,-70.65,-19.85
-0.96,-52.74,-13.02
-37.42,-54.33,-30.31
-43.83,-56.48,-30.05
-32,-20,68
-32,-34,68
-18,4,68
10,16,64
6,24,26
-28,-40,70
-50,-48,52
-20,-2,-10
8,-20,-6
4,-66,-18
-58,-28,14
64,-30,18
56,14,-14
-52.38,7.96,44.82
36.69,53.03,5.23
1.72,18.56,51.82
-27.29,-53.64,50.49
52.67,18.58,-19.65
-18.3,2.22,4.47
40.25,11.64,21.59
-18.49,-2.53,-11.86
55.64,14.73,42.31
15.94,11.23,-13
-19.3,-5.18,-15.68
-1.19,34.99,-6.99
-1.05,6.7,-1.27
3.5,0.84,32.62
3.52,-23.11,25.71
-1.71,-38.49,33.75
5.75,-60.62,22.14
-1.86,-48.75,11.19
37.36,20.68,-2.89
-33.11,16.45,3.85
53.33,14.63,-13.71
-54.56,11.07,-8.83
5.11,68.95,-8.79
-1.21,66.6,2.63
-0.2,28.68,-19.85
-8.43,-10.98,4.76
-7.45,14.49,3.72
21.32,13.81,-7.7
-22.45,9.66,-2.39
-7.29,-8,15.65
7.62,-11.68,7.98
-5.19,-11.67,9.24
-10.48,-25.45,10.45
60.13,-23.03,21.71
-57.37,-19.96,30.61
58.2,-33.05,43.76
-48.8,-34,27.22
43.13,9.76,48.15
3.3,-75.95,-24.5
-0.98,-75.98,-24.45
3.29,-72.78,-24.77
-0.99,-72.8,-24.72
11.92,-61.93,-9.05
-8.4,-62.3,-12.13
9.8,-78.31,-14.34
-9.49,-78.94,-20.76
6.54,-84.39,-23.83
-6.27,-85.35,-21.37
9.77,-88.43,-21.3
-3.07,-88.76,-24.47
-16.07,-70.84,-39.21
10.62,-64.33,-40.06
-8.66,-51.76,-40.89
30.95,-40.89,-27.76
37.49,-66.94,-21.19
-24.46,-68.2,-18.14
41.76,-69.2,-23.28
-45.84,-76.07,-21.7
29.9,-75.85,-39.31
-30.94,-86.53,-34.37
33.06,-77.4,-45.91
-22.51,-77.73,-45.24
26.62,-61.32,-43.84
-25.74,-68.15,-44.9
-18.27,-59.47,-43.48
-13.88,-67.05,-31.74
-6.41,-80.29,-38.52
-4.51,30.84,31.87
2.37,41.13,-0.85
11.13,40.41,12.49
-4.28,23.8,59.22
-41.68,11.92,27.19
-49.1,20.45,-3.55
62.5,33.55,-9.27
-47.61,27.24,12.6
-28.88,46.57,24.14
-29.26,46.31,-26.02
-13.41,8.23,-23
-4.55,-22.57,4.57
4.13,-16.5,10.65
-4.56,-62.28,-12.17
46.94,-83.88,-36.05
-57.53,-44.54,-14.73
-42.26,17.15,-46.84
-11.19,-85.24,46.7
20.06,-68.92,18.21
-9.62,-74.98,60.88
41.05,20.61,-9.61
-33.4,24.14,-4.04
-13.25,-3.4,-6.98
16.73,0.09,-12.63
3.89,-2.04,-15.65
-34.82,52.19,3.67
26.58,54.84,-15.66
-26.1,-25.26,-4.99
-28,-58,-16
38,-40,-20
-2,-24,-12
48,18,-20
-50,14,-24
-16,-2,-12
-40,20,-22
-16,-4,-10
6,31,32
-9,57,25
-3,52,-3
33,20,-11
56,18,10
-39,14,-13
-48,10,16
-30,53,6
-45,40,-12
-50,-52,3
59,-58,14
48,-70,-2
42,-53,-12
-18,-4,-12
21,-10,-22
21,-11,12
-3,9,9
12,-60,-40
-20,-4,-16
-4,4,-4
12,32,-20
8,48,28
0,-24,-8
56,-72,8
-48,-64,28
-40,-88,32
0,-68,-40
40,-52,32
-32,-8,60
36,-8,52
-24,-44,56
-7.53,9.32,-8.11
9.56,18.14,-5.7
9.63,17.77,3.25
-10.73,0.5,-11.79
5.42,1.88,4.63
6.41,-14.29,-11.86
-3.21,-15.49,-12.77
-11.76,5.32,-4.38
11.75,8.81,-2.71
9.67,0.59,1.35
-5.28,0.59,2.63
3.4,-22.2,10.02
-0.88,-22.22,10.07
19.17,1.65,-13.35
-12.86,1.71,-9.64
-0.97,32.82,19.96
31.1,44.1,25.33
33.01,20.94,-12.89
-34.27,13.22,-10.36
-33.11,23.05,6.65
19.6,-67.57,13.64
-21.43,-66.64,-39.5
6.41,-14.29,-11.86
-3.21,-15.49,-12.77
11.7,3.89,-11.22
-10.69,5.33,-4.39
39.72,-44.07,-0.83
8.56,11.07,-0.63
8.62,-0.39,2.56
-5.28,1.64,2.55
3.41,-17.71,12.99
-0.87,-19.94,12.11
19.18,0.59,-13.26
-12.86,0.57,-10.66
-44.94,19.93,-5.22
-1,39.08,18.32
33.02,19.88,-12.81
-35.33,12.24,-9.15
-21.43,-66.64,-39.5
2,14,62
-4,4,52
-46,-2,56
-54,0,44
-44,-10,34
-58,6,8
46,-4,54
56,2,48
46,-10,36
62,8,12
68,-28,22
-60,-38,20
-22,0,18
20,-66,10
-10,-70,8
-46,-4,2
-12,-18,-2
10,-24,-2
20,-4,-10
-24,-4,-12
40,10,-12
-10,-60,-28
12,-56,-28
49.08,-3.35,33.01
10.42,14.65,55.42
67.03,11.13,3.26
55.58,3.36,35.6
-2.52,14.81,57.86
-41.72,-6.21,30.36
-53.45,5.83,45.05
-62.57,8.76,7.94
56.21,-8.78,-2.43
55.19,-29.09,-1.53
60.5,-8.97,-4.73
58.24,-0.99,-11.08
-43.94,-37.35,18.91
-52.86,-18.63,1.52
-58.07,-31.44,14.08
-66.7,-22.65,16.72
-58.43,-3.53,-8.84
26.54,-73.84,-53.76
29.02,-67.08,-27.58
37.63,-65.13,-30.16
14.04,-74.82,-17.59
-27.19,-65.36,-29.03
-7.55,-72.56,-15.21
-37.94,-71.58,-25.99
-23.13,-80.4,-52.27
-36.17,-61.3,-53.93
24.81,-11.53,-7.23
-18.45,-5.51,-9.33
-30,-26,54
32,-38,12
34,-58,18
-28,-76,8
-46,-40,30
-6,4,-12
-51,15,0
-45,33,15
0,42,6
0,3,63
-51,-6,48
51,-6,36
66,-9,-3
51,-18,3
60,6,-12
-57,-18,0
-18,-3,-12
21,-21,-21
-24,-24,-15
33,18,3
-39,-42,42
-6,-33,-6
36,-66,-30
-14,-2,-10
20,-2,-14
-14,12,-8
10,16,-8
-46,-28,60
-34,-56,62
-14,10,-6
10,16,-8
2,10,0
26,-60,-22
18,-78,-14
10,-86,4
-20,-30,-16
50,-40,56
42,-46,52
-54,10,36
4,-10,10
0,-78,34
-10,-52,-4
2,-22,12
-14,-4,-8
28,-2,-10
-2,6,-6
6,6,-8
-48,-28,58
-44,-50,56
8,-46,36
2,-28,36
-2,34,26
0,22,28
2,34,44
-6,-66,34
48,14,44
44,-72,34
-30,18,-8
26,24,-12
52,18,30
-8,-18,-4
2,-28,-4
-22,-2,-12
26,-6,-14
18,8,-12
34,-12,-16
40,-26,-14
32,-20,-22
-14,-2,-10
20,-2,-14
-14,12,-8
10,16,-8
-46,-28,60
-34,-56,62
-14,10,-6
10,16,-8
2,10,0
26,-60,-22
18,-78,-14
10,-86,4
-20,-30,-16
50,-40,56
42,-46,52
-54,10,36
4,-10,10
0,-78,34
-10,-52,-4
2,-22,12
-14,-4,-8
28,-2,-10
-2,6,-6
6,6,-8
-48,-28,58
-44,-50,56
8,-46,36
2,-28,36
-2,34,26
0,22,28
2,34,44
-6,-66,34
48,14,44
44,-72,34
-30,18,-8
26,24,-12
52,18,30
-8,-18,-4
2,-28,-4
21.36,8.78,-3.93
-7.46,5.6,-1.11
-13.94,1.62,-10.73
-49.64,-50.27,50.9
-0.68,-33.37,31.08
0.52,-27.59,50.65
-4.92,13.07,54
-18.75,10.33,61.08
11.91,-59.9,-10.33
-39.62,-56.09,-39.06
21.36,8.78,-3.93
-13.94,1.62,-10.73
21.36,8.78,-3.93
-7.46,5.6,-1.11
-13.94,1.62,-10.73
-49.64,-50.27,50.9
-0.68,-33.37,31.08
0.52,-27.59,50.65
-18.75,10.33,61.08
-39.62,-56.09,-39.06
24,0,-12
-18,0,-10
16,0,-10
-22,2,-10
-28,32,-4
12,-48,9
0,15,57
-6,-39,-18
-24,-33,-6
-6,27,15
30,-63,-24
-6,-12,63
-9,-51,6
15,9,54
-21,-51,12
-27,-57,-24
9,-6,66
21,3,-18
-18,0,-12
-12,9,54
-15,9,60
-30,0,54
15,9,54
15,-3,75
51,9,6
-6,27,15
0,18,30
-6,30,30
-9,33,27
-45,18,-3
-18,12,-15
10,-2,-6
-36,38,-2
22,-6,-30
-16,0,-14
-38,14,4
58,-46,26
8,-84,16
-24,56,20
8,22,64
0,-28,24
-14,-20,-12
52,-46,10
-22,-64,64
-14,36,56
-56,-36,42
10,18,28
46,-52,8
32,-40,-42
48,-60,26
0,-72,2
8,-24,0
52,-10,20
-48,-77,15
-36,-72,-3
-40,-66,-8
-50,-62,-2
-48,-54,6
51,-64,3
42,-74,-8
30,-78,24
46,-67,-10
40,-44,-26
50,-56,1
55,-48,19
-22,3,-17
20,-2,-10
-14,-31,-5
-30,-16,-16
22,-10,-15
6,-32,-12
4,-15,4
2,-2,-5
26,13,-4
-24,11,-6
12,12,1
-16,17,-1
38,11,-4
40,29,-10
-34,25,-8
26,26,-15
-38,34,-15
9.57,61.09,13
-4.22,51.03,21.81
-7.18,13.97,38.34
-33.97,2.13,25.14
15.39,23.14,58.5
-20.93,20.89,60.22
49.27,28.89,19.71
-41.26,9.51,52.48
-29.55,22.27,51.28
49.27,28.89,19.71
-37.11,26.91,43.17
-42.8,31.03,0.51
-4.61,59.07,-25.7
-56.16,-67.97,29.04
65.29,-2.96,5.47
56.58,-12.39,-19.29
-60.79,-27.75,-1.04
62.07,-45.94,-13.2
2.54,-50.78,25.81
10.06,-68.97,23.9
-49.74,-46.98,38.36
31.43,-68.84,23.65
50.2,-23.09,-19.44
-44.7,-79.7,-13.6
25.55,-7.46,-21.58
-42.92,29.74,-16.11
19.32,13.05,10.23
30.12,-29.7,7
-16.97,-17.46,4.28
-13.74,-5.12,12.13
-7.37,-10.97,4.74
24.6,-5.12,-5.04
-15,-0.58,-11.65
15,6,1.95
37.4,-61.37,-31.69
-36.37,-62.15,-35.24
-3.32,42.72,-3.15
-3.23,3,-7.63
5.32,3.05,-7.73
-20.33,-8.1,-12.08
-43.75,-60.03,-20.84
46.02,-59.49,-21.91
-47.88,-71.8,-7.53
50.43,-71.21,-8.71
-23.63,16.11,-15.18
25.52,16.41,-15.77
6.89,-60.99,31.08
2.51,-10.46,38.04
33.8,-49.97,61.07
-28.4,-5.39,51.36
31.44,-5.03,50.64
-8,-4,56
-60,-4,36
-56,-12,44
-56,4,0
-52,-44,16
-24,-4,-8
-8,-64,-24
-32,-64,-32
32,-60,-32
-16,-12,16
12,-12,16
-20.66,-3.7,-12.83
-18,-99,-12
39,-72,-12
-21,-3,-15
18,-3,-12
27,0,-27
42,6,33
48,21,21
51,33,-6
3,54,27
-39,36,12
-24,36,-12
-30,33,-6
-54,9,33
-39,6,24
-3,48,-12
-9,57,0
27,-54,54
24,-72,54
-60,-33,30
63,-30,36
-27,24,-9
-0.18,4.05,0.17
0.44,19.86,44.89
31.64,25.32,-8.45
-36.23,20.64,1.87
0.82,-29.83,5.12
-61.41,-18.64,5.45
35.45,9.81,49.46
53.71,-53.56,46.86
39.77,-75.11,-33.69
46.79,35.03,30.37
-37.16,13.1,53.02
-59.7,-18.06,-26.44
-65.78,-42.38,0.73
-52.74,-41.82,6.05
64.6,-22.63,-24.74
-14.98,3.92,10.97
-11.69,-15.42,10.59
1.61,-27.13,33.93
0.83,-55.9,-32.69
-2.55,-41.64,-40.76
17.2,1.2,-8.36
14.27,-11.83,13.15
4.09,-26.24,-25.59
-12.12,-19.71,-23.72
17.43,-55.06,-1.68
-2.22,-41.38,-15.02
-24.77,-26.18,-0.45
-27.86,-50.24,6.46
64.89,-45.63,-6.78
-52.93,-56.35,-11.56
6,0,-10
4,12,-18
-4,68,-2
-2,62,0
8,70,2
0,-68,24
-44,-78,40
0,-40,32
-4,-50,20
0,48,-6
34,34,-14
8,8,4
-4,16,8
20,-72,-28
-24,-72,-24
-4,-50,-4
44,36,28
-36,-56,-12
4,24,52
36,20,-8
36,-56,48
-36,-52,52
-4,-28,-4
4,-16,8
-4,-12,8
8,4,-8
-16,12,-12
8,8,4
-4,16,8
20,-72,-28
-24,-72,-24
-4,-50,-4
44,36,28
4,24,52
-36,-56,-12
36,-56,48
-36,-52,52
36,20,-8
0,-28,-8
4,-16,8
-4,-12,8
8,4,-8
-16,12,-12
9.56,45.6,5.38
-10.74,12.47,-8.34
21.28,12.32,-13.15
7.44,12.75,-6.34
-9.68,11.34,-9.37
8.58,5.79,-0.19
-16.08,1.52,-11.82
1.21,-6.26,9.83
20.37,5.14,4.19
-13.95,2.59,-11.93
-11.75,17.55,2.4
12.83,18.76,2.02
43.94,43.29,27.48
-13.95,0.39,-12.86
-21.36,-14.37,-10.42
-33.96,20.87,33.6
34.27,21.77,11.56
-16,0,-10
30,18,-12
12,3,-9
-18,27,-15
-18,0,-9
21,36,-9
-2.11,4.66,0.03
5.5,-9.41,10.04
-9,9,6
9,9,3
-9,3,-13
-6,51,27
-51,-75,-6
54,-66,0
-33,-57,54
33,-57,57
9,-63,39
45,-42,-24
51,-63,0
48,-39,-21
45,-51,-12
-54,-69,6
-45,-39,-21
-66,-27,33
-33,-45,48
-45,-33,39
6,60,27
6,54,39
54,-27,36
3,15,27
-6,18,27
-9,27,30
-21,-3,-12
21,15,3
12,-9,6
51,15,21
36,-45,57
54,0,48
-24,-9,48
-3,-66,36
54,36,6
42,36,9
-16,-6,-8
-8,0,-10
8,8,-6
30,-28,-12
30,18,-14
8,46,8
52,44,-4
56,36,2
10,-26,-20
-14,-92,2
-10,-100,4
-24,-78,-12
-30,-68,-14
28,-58,38
-54,-56,32
-20,-42,70
2,24,44
-32,42,28
40,16,2
52,20,22
-62,-18,22
10,0,10
-56,-36,46
2,8,-2
-54,-48,-6
-54,-36,21
-21,-36,3
-3,9,-6
-7.61,41.38,-6.34
28.63,31.86,-22.68
-7.35,30.92,23.53
-10.6,18.33,12.36
-15.01,0.47,-11.74
1.2,-14.01,6.01
1.07,-27.52,-17.38
-7.12,-49.07,21.32
-23.18,-82.43,4.23
-54,-66,8
-44,-74,-6
50,-64,-2
48,-66,-12
42,-48,-14
-44,-58,-18
-42,-46,-20
36,-42,54
30,-48,52
26,-56,56
52,-20,32
-2,-48,28
6,58,28
-28,18,-20
-32,22,-2
-26,16,-22
-34,24,-16
-36,30,-2
40,-10,-10
38,30,4
44,22,-8
34,10,-16
46,22,-8
-28,2,-22
-20,-2,-12
-22,2,-16
18,-4,-12
-13.42,12.98,50.39
43.9,25.27,-28
18,-25,-36.04
59.68,19.25,21.63
-31.7,27.33,-24.68
-48.86,45.74,-10.52
-3.35,3.15,-9.32
14.15,28.9,12.48
18.52,-42.94,1.59
59.43,-57.02,-13.4
-39.52,-51.92,23.64
-50.93,-36.76,-20.25
46.54,-67.49,-9.91
52.87,-44.48,-16.77
34.34,-37.7,56.83
23.43,-75.77,40.61
21.24,-45.37,44.36
22.47,-12.89,-21.62
27.41,-23.61,24.18
57.06,-60.81,-30.92
50.76,-79.15,-20.03
-46.55,-73.53,-23.41
-40,8,-30
-20,-4,-12
-14,-8,-24
-16,-34,10
4.7,-5.45,47.63
17.96,57.23,-10.19
-61.92,-14.08,-3.03
-20.34,-0.53,-10.48
36.29,-45.26,-29.68
46.17,-42.55,4.55
-48.89,-20.68,20.53
32.99,14.08,-19.01
-11.69,-59.84,-21.22
-61.9,24.62,15.77
-9.04,-5.04,67.83
36.42,-0.05,4.44
-12,34,46
-14,56,30
-8,46,12
-4,28,12
10,-4,12
-8,-4,2
10,16,10
-8,12,8
-16,6,-12
-18,-2,-12
-2,-18,-20
2,56,24
-10,52,16
-6,46,-6
-18,2,-10
-26,0,-20
-28,14,-24
-64.47,10.72,29.07
58.73,0.52,27.98
35.28,58.18,-19.91
-58.24,35.13,14.22
-56.39,38.27,-9.65
24.46,13.19,-29.84
7.47,3.3,-8.4
-5.11,2.86,22.11
6.12,-44.26,45.63
-29.15,-29.91,-5.61
14.23,-41.69,3.78
-18.16,-47.12,4.87
-46.54,16.28,-4.28
48.54,10.13,-6.42
-48,2,44
-50,12,36
-46,22,28
-50,14,24
-52,12,20
-40,24,16
-44,28,8
-40,26,-4
-22,-54,44
-22,-64,56
-32,-54,44
-12,2,-12
-14,-4,-12
-24,6,-16
-62,-36,4
-34,-62,-8
-18,12,0
-18,8,12
-20,-6,12
-4.26,58.35,20.08
-2.3,59.73,-3.47
-4.43,41.15,-9.7
-3.22,6.43,-4.57
-21.43,-7.4,-16.58
-59.83,-11.26,-8.01
-39.77,20.36,-27.62
-35.29,-34.6,-23.06
5.2,47.98,-4.81
5.19,48.95,-6
5.52,-4.88,-12.64
1.68,-26.66,-6.31
4.48,4.38,-5.6
4.47,-22.05,-3.38
3.95,7.51,-3.63
4.34,-10.36,-2.13
5.98,13.38,-0.8
-10.35,8.53,-0.2
25.81,-30.91,2.69
10.29,13.86,3.57
20.6,-27.53,6.93
16.54,9.9,8.29
15.92,-24.36,11.18
14.35,-23.5,15.58
-53.3,17.44,18.5
42.87,25.68,20.05
-16.06,54.51,12.73
34,31.09,-19.33
-30.1,30.88,-16.35
0.2,40.45,36.03
-20.96,17.29,54.94
-34.83,-1.2,51.08
-26.67,24.41,9.8
29.03,-80.4,-15.5
-15.89,-81.1,-20.5
2.51,-70.84,14.11
29.36,-52.85,37.94
-21.14,-91.1,-11.8
-34.78,-77.61,26.26
48.22,-64.25,-14.85
23.59,-37.53,-11.23
39.32,3.4,-33.8
-47.98,-26.7,-2.39
-3.26,-25.86,-23.05
-10.58,-10.02,3.59
-24.56,-71.43,-32.37
-21.37,-5.65,-7.81
40,36,0
16,-12,-14
-20,-4,-10
54,-34,40
32,-66,34
16,-12,-14
-20,-4,-10
-32,-52,14
22,-44,12
-16,42,18
26,14,60
-6,2,30
10,-4,34
-22,-6,-10
18,0,-10
-28,16,-8
40,36,0
16,-12,-14
-20,-4,-10
54,-34,40
